year,odometer,condition,transmission,state,price
2020.0,9954.0,good,other,al,26590
2018.0,28942.0,good,other,al,18590
2018.0,7885.0,good,other,al,21590
1995.0,215000.0,good,manual,al,3500
2003.0,236890.0,excellent,automatic,al,3950
2020.0,9954.0,good,other,al,26590
2019.0,9528.0,like new,manual,al,39888
2003.0,236890.0,excellent,automatic,al,3950
2012.0,120000.0,,automatic,al,6000
2008.0,135000.0,excellent,automatic,al,6950
2006.0,170000.0,good,automatic,al,4500
2001.0,144000.0,,automatic,al,3900
2019.0,9528.0,like new,manual,al,39888
2006.0,166822.0,,automatic,al,0
2003.0,236890.0,excellent,automatic,al,3950
2020.0,9954.0,good,other,al,26590
2018.0,28942.0,good,other,al,18590
2018.0,7885.0,good,other,al,21590
2012.0,100600.0,,automatic,al,9300
2020.0,9954.0,good,other,al,26590
2018.0,7885.0,good,other,al,21590
2018.0,31419.0,good,other,al,18990
2012.0,120800.0,good,automatic,al,6999
2010.0,204000.0,good,automatic,al,3477
2020.0,9954.0,good,other,al,26590
2018.0,7885.0,good,other,al,21590
2009.0,146000.0,excellent,automatic,al,5177
2007.0,299776.0,,automatic,al,4719
2008.0,207000.0,excellent,automatic,al,5900
2009.0,145000.0,excellent,automatic,al,5277
2009.0,156869.0,,automatic,al,5500
2016.0,63269.0,,other,al,17897
2013.0,159510.0,good,automatic,al,10450
2009.0,158000.0,,automatic,al,5800
2019.0,9414.0,,automatic,al,20917
2014.0,106500.0,excellent,automatic,al,8599
2018.0,30305.0,,manual,al,23606
2011.0,155142.0,good,manual,al,8490
2009.0,72253.0,,automatic,al,9997
2018.0,15545.0,like new,automatic,al,19565
2012.0,103787.0,,automatic,al,8999
2013.0,102534.0,,automatic,al,10991
2018.0,39984.0,,automatic,al,17664
2018.0,7885.0,good,other,al,21590
2018.0,35931.0,good,other,al,19590
2020.0,7209.0,good,other,al,27990
2013.0,122295.0,,automatic,ak,9995
2013.0,122295.0,,automatic,ak,9995
2011.0,80000.0,excellent,manual,ak,13000
2013.0,122295.0,,automatic,ak,9995
2004.0,175720.0,,automatic,ak,2850
2017.0,26800.0,like new,automatic,ak,17199
2013.0,122295.0,,automatic,ak,9995
2013.0,103000.0,good,automatic,ak,9000
2004.0,175690.0,,automatic,ak,2850
2013.0,122295.0,,automatic,ak,9995
2013.0,66842.0,,other,ak,15995
2013.0,122295.0,,automatic,ak,9995
2017.0,24252.0,,automatic,ak,21194
2013.0,122295.0,,automatic,ak,9995
2012.0,68625.0,excellent,automatic,ak,9900
2013.0,66842.0,,other,ak,15995
2016.0,63475.0,good,automatic,ak,11995
2013.0,66842.0,,other,ak,15995
2013.0,122295.0,,automatic,ak,9995
2013.0,66842.0,,other,ak,15995
2016.0,28000.0,like new,automatic,ak,11000
2013.0,122295.0,,automatic,ak,9995
2013.0,122295.0,,automatic,ak,9995
2013.0,66842.0,,other,ak,15995
2013.0,122295.0,,automatic,ak,9995
2016.0,63475.0,good,automatic,ak,11995
2013.0,122295.0,,automatic,ak,9995
2013.0,122295.0,,automatic,ak,9995
2006.0,97800.0,excellent,manual,ak,6950
2018.0,72423.0,good,automatic,az,22995
2018.0,31547.0,good,other,az,24990
2018.0,50916.0,excellent,automatic,az,587
2020.0,9954.0,good,other,az,26590
2013.0,81552.0,good,other,az,16590
2010.0,134000.0,good,automatic,az,8995
2015.0,240253.0,excellent,automatic,az,189
2018.0,39082.0,good,other,az,22990
2005.0,165919.0,,,az,5495
2003.0,157386.0,excellent,automatic,az,4200
2005.0,92000.0,good,automatic,az,1500
2017.0,76538.0,,automatic,az,15872
2017.0,76320.0,,automatic,az,15872
2013.0,92894.0,excellent,automatic,az,10995
2018.0,33100.0,excellent,automatic,az,18500
2020.0,28020.0,excellent,automatic,az,558
2014.0,88000.0,excellent,automatic,az,12995
2013.0,69732.0,,automatic,az,10950
2019.0,6964.0,good,other,az,38990
2012.0,150060.0,good,manual,az,10900
2020.0,17000.0,,other,az,17499
2020.0,3000.0,,other,az,19995
2019.0,12000.0,,manual,az,18499
2019.0,17000.0,,other,az,16499
2018.0,29000.0,,manual,az,14995
2017.0,29000.0,,manual,az,16499
2019.0,12000.0,,other,az,16995
2019.0,19000.0,,other,az,16995
2009.0,92281.0,good,automatic,az,3700
2018.0,34738.0,like new,automatic,az,18777
2013.0,85901.0,excellent,automatic,az,13500
2015.0,70544.0,good,automatic,az,14991
2006.0,131800.0,good,manual,az,5900
2002.0,200000.0,excellent,automatic,az,2900
2020.0,8226.0,,automatic,az,0
2013.0,130000.0,excellent,automatic,az,500
2012.0,109000.0,excellent,automatic,az,7999
2020.0,3678.0,good,other,az,25590
2019.0,21839.0,excellent,automatic,az,607
2012.0,143269.0,,automatic,az,9950
2015.0,80321.0,excellent,automatic,az,11500
1993.0,300000.0,,manual,az,1500
2009.0,110200.0,good,automatic,az,5000
2012.0,125000.0,excellent,automatic,az,7500
2012.0,102000.0,salvage,manual,az,10000
2018.0,31547.0,good,other,az,24990
2012.0,74000.0,like new,automatic,az,10500
2001.0,179000.0,,automatic,az,4900
2017.0,33785.0,good,other,az,34590
2003.0,111000.0,,manual,az,4200
2003.0,176000.0,fair,manual,az,2500
2018.0,31547.0,good,other,az,24990
2017.0,20000.0,like new,automatic,az,15950
2018.0,50916.0,excellent,automatic,az,587
2020.0,9954.0,good,other,az,26590
2017.0,39787.0,excellent,automatic,az,540
2015.0,240253.0,excellent,automatic,az,189
2007.0,187560.0,good,automatic,az,1977
2019.0,1133.0,good,automatic,az,23590
2015.0,59300.0,excellent,automatic,az,15729
2018.0,23787.0,good,other,az,18590
2007.0,103975.0,like new,automatic,az,7700
2018.0,30958.0,good,other,az,17990
2018.0,10820.0,good,other,az,23990
2020.0,5652.0,good,other,az,25590
2007.0,156000.0,,automatic,az,3900
2008.0,132264.0,excellent,automatic,az,5499
2015.0,105347.0,,manual,az,14995
2007.0,133500.0,excellent,automatic,az,6900
2008.0,89081.0,excellent,manual,az,10990
2015.0,60102.0,,manual,az,19995
2009.0,94321.0,,automatic,az,8990
2019.0,16000.0,like new,automatic,az,24500
2018.0,17745.0,good,other,az,37590
2004.0,160000.0,good,manual,az,2900
1991.0,197160.0,fair,automatic,az,800
2015.0,43120.0,excellent,automatic,az,14495
2013.0,200000.0,good,automatic,az,6000
2018.0,24000.0,like new,automatic,az,18800
2001.0,114639.0,,automatic,az,0
2010.0,159000.0,like new,automatic,az,6450
2018.0,44413.0,,automatic,az,0
2018.0,23787.0,good,other,az,18590
2008.0,132000.0,excellent,automatic,az,6495
2015.0,70718.0,,automatic,az,13900
2014.0,45900.0,,automatic,az,6950
2006.0,150380.0,,automatic,az,4999
2015.0,104399.0,,automatic,az,11495
2011.0,95000.0,excellent,automatic,az,6800
2008.0,132262.0,excellent,automatic,az,6495
2017.0,15517.0,,automatic,az,21952
2018.0,74873.0,,other,az,17488
2015.0,122785.0,,automatic,az,10995
2020.0,22136.0,,automatic,az,0
2002.0,177000.0,excellent,automatic,az,2950
2012.0,500.0,,automatic,az,0
2011.0,77634.0,,automatic,az,9995
2017.0,40120.0,,automatic,az,15995
2008.0,68500.0,,automatic,az,8550
2015.0,43120.0,excellent,automatic,az,14495
2015.0,105347.0,,manual,az,14995
2017.0,22162.0,,automatic,az,21451
2013.0,93117.0,,manual,az,17990
2018.0,13034.0,good,other,az,36990
2011.0,103677.0,good,automatic,az,8995
2012.0,116061.0,,automatic,az,9595
2004.0,1.0,,automatic,az,5499
2015.0,17649.0,good,other,az,15990
2019.0,19051.0,,automatic,az,19985
2017.0,15517.0,,automatic,az,21952
2015.0,70718.0,,automatic,az,13900
2012.0,139816.0,good,manual,az,8500
2011.0,181567.0,like new,automatic,ar,4900
2008.0,91191.0,good,manual,ar,7995
2015.0,61000.0,like new,automatic,ar,9300
2008.0,142000.0,excellent,automatic,ar,4500
2012.0,195635.0,,automatic,ar,7499
2010.0,128000.0,fair,manual,ar,5200
2015.0,61000.0,excellent,automatic,ar,9500
2008.0,117000.0,excellent,automatic,ar,5500
2011.0,181567.0,like new,automatic,ar,4900
2013.0,96910.0,excellent,manual,ar,14995
2017.0,107829.0,,manual,ar,19900
2012.0,109794.0,good,automatic,ar,0
2017.0,107829.0,,manual,ar,19900
2012.0,187765.0,good,automatic,ar,7900
2008.0,142000.0,excellent,automatic,ar,4500
2009.0,150394.0,like new,automatic,ar,0
2009.0,150000.0,excellent,automatic,ar,0
2009.0,150000.0,excellent,automatic,ar,0
2008.0,142000.0,excellent,automatic,ar,4700
2015.0,108321.0,,automatic,ar,11999
2018.0,20000.0,like new,automatic,ar,20988
2012.0,109794.0,good,automatic,ar,0
2015.0,101996.0,excellent,automatic,ar,13973
2010.0,411.0,,automatic,ar,5995
2020.0,9954.0,good,other,ar,26590
2018.0,35931.0,good,other,ar,19590
2010.0,411.0,,automatic,ar,5995
2012.0,228000.0,good,automatic,ar,5900
2012.0,126498.0,,automatic,ar,0
2010.0,411.0,,automatic,ar,5995
2010.0,411.0,,automatic,ar,5995
2001.0,411.0,,automatic,ar,4995
2005.0,144000.0,like new,automatic,ar,4800
2008.0,217000.0,,automatic,ar,4200
2010.0,411.0,,automatic,ar,5995
2001.0,411.0,,automatic,ar,4995
2015.0,57835.0,good,automatic,ar,0
2013.0,72496.0,excellent,automatic,ar,12900
2018.0,39082.0,good,other,ar,22990
2018.0,33603.0,new,manual,ca,17995
2016.0,43794.0,,automatic,ca,0
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2016.0,43794.0,,automatic,ca,0
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2002.0,189000.0,good,automatic,ca,2700
2007.0,160879.0,excellent,automatic,ca,3900
2016.0,43794.0,,automatic,ca,0
2018.0,40831.0,good,other,ca,35990
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2015.0,28000.0,excellent,automatic,ca,13800
2014.0,100865.0,excellent,automatic,ca,10999
2014.0,126125.0,excellent,automatic,ca,9998
2018.0,24347.0,,automatic,ca,0
2016.0,43794.0,,automatic,ca,0
2017.0,66981.0,,automatic,ca,0
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2012.0,82859.0,excellent,automatic,ca,8900
2016.0,43794.0,,automatic,ca,0
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2013.0,54419.0,good,other,ca,17990
2016.0,43794.0,,automatic,ca,0
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2014.0,100865.0,excellent,automatic,ca,10999
2014.0,126125.0,excellent,automatic,ca,9998
2016.0,43794.0,,automatic,ca,0
2013.0,47225.0,excellent,automatic,ca,14998
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2016.0,43794.0,,automatic,ca,0
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2016.0,43794.0,,automatic,ca,0
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2016.0,49482.0,,automatic,ca,0
2015.0,64493.0,,manual,ca,16995
2019.0,19989.0,,automatic,ca,17995
2020.0,10378.0,,automatic,ca,19995
2019.0,11000.0,like new,automatic,ca,14800
2018.0,24347.0,,automatic,ca,0
2017.0,66981.0,,automatic,ca,0
2016.0,43794.0,,automatic,ca,0
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2018.0,33603.0,new,manual,ca,17995
2019.0,1133.0,good,automatic,ca,23590
2016.0,43794.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2019.0,11000.0,like new,automatic,ca,14700
2013.0,47225.0,excellent,automatic,ca,14998
2016.0,43794.0,,automatic,ca,0
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2012.0,104787.0,excellent,automatic,ca,9995
2013.0,155600.0,excellent,automatic,ca,8995
2012.0,65728.0,excellent,automatic,ca,10995
2012.0,83000.0,,automatic,ca,12995
2007.0,199979.0,excellent,automatic,ca,7500
2018.0,40831.0,good,other,ca,35990
2017.0,22756.0,excellent,automatic,ca,13985
2013.0,54419.0,good,other,ca,17990
1999.0,148563.0,excellent,automatic,ca,4495
2008.0,140042.0,excellent,automatic,ca,6995
2001.0,159000.0,good,automatic,ca,3200
2015.0,81499.0,,automatic,ca,12995
2014.0,19000.0,,automatic,ca,17999
2015.0,88000.0,,automatic,ca,12595
2015.0,81499.0,excellent,automatic,ca,12995
2014.0,138172.0,,automatic,ca,9699
1993.0,176000.0,good,manual,ca,6000
2003.0,105000.0,fair,automatic,ca,1000
2014.0,134615.0,excellent,automatic,ca,12700
2011.0,171457.0,good,automatic,ca,10700
2015.0,87883.0,excellent,automatic,ca,14995
2007.0,150000.0,good,automatic,ca,5999
2014.0,134615.0,excellent,automatic,ca,12700
2015.0,125780.0,,manual,ca,17999
2018.0,15796.0,excellent,automatic,ca,19877
2007.0,136000.0,like new,automatic,ca,6900
2011.0,171457.0,excellent,automatic,ca,10700
2004.0,155000.0,,automatic,ca,3500
2008.0,138028.0,,automatic,ca,8855
2006.0,213617.0,excellent,automatic,ca,4995
2004.0,228583.0,,automatic,ca,4900
2013.0,118199.0,excellent,automatic,ca,10450
2019.0,2487.0,excellent,automatic,ca,0
2019.0,22600.0,excellent,manual,ca,0
2014.0,115321.0,excellent,manual,ca,15995
2014.0,134615.0,,automatic,ca,12700
2018.0,40831.0,good,other,ca,35990
2017.0,50053.0,excellent,automatic,ca,17985
2011.0,171457.0,good,automatic,ca,10700
2017.0,38755.0,,automatic,ca,0
2017.0,22756.0,excellent,automatic,ca,13985
2004.0,189051.0,good,automatic,ca,2400
2004.0,228583.0,,automatic,ca,4900
2004.0,190000.0,,automatic,ca,2300
2013.0,80000.0,excellent,manual,ca,14500
2016.0,14606.0,,automatic,ca,14999
2011.0,171457.0,excellent,automatic,ca,10700
2010.0,110000.0,,manual,ca,3900
1999.0,220000.0,good,automatic,ca,1499
2013.0,54419.0,good,other,ca,17990
2013.0,72000.0,excellent,manual,ca,16500
2017.0,55726.0,excellent,automatic,ca,18495
2015.0,133222.0,,automatic,ca,0
2013.0,72000.0,excellent,manual,ca,16500
2011.0,171457.0,excellent,automatic,ca,10700
2008.0,138028.0,,automatic,ca,8855
2013.0,72000.0,excellent,manual,ca,16500
2013.0,72000.0,excellent,manual,ca,16500
2019.0,39085.0,,automatic,ca,0
2020.0,8440.0,,automatic,ca,0
2017.0,38755.0,,automatic,ca,0
2013.0,136142.0,,manual,ca,14999
2012.0,120482.0,,automatic,ca,0
2011.0,99391.0,like new,automatic,ca,8999
2002.0,123274.0,,automatic,ca,0
2004.0,84961.0,,automatic,ca,0
2017.0,50053.0,excellent,automatic,ca,17985
2011.0,171457.0,excellent,automatic,ca,10700
2003.0,251315.0,good,automatic,ca,3000
2011.0,124444.0,excellent,automatic,ca,7999
2007.0,188883.0,excellent,automatic,ca,6000
2007.0,230000.0,good,automatic,ca,2500
2018.0,75424.0,,automatic,ca,20956
2018.0,28123.0,,automatic,ca,19870
1999.0,173096.0,good,automatic,ca,2300
1997.0,183000.0,good,manual,ca,3200
2018.0,16020.0,,automatic,ca,19600
2020.0,15357.0,,automatic,ca,23352
2005.0,135408.0,,automatic,ca,6986
2019.0,11675.0,good,other,ca,21990
2020.0,8363.0,,automatic,ca,21672
2018.0,30378.0,,automatic,ca,20908
2018.0,23018.0,,automatic,ca,19258
2018.0,10820.0,good,other,ca,23990
2005.0,140000.0,,automatic,ca,3400
2006.0,139169.0,like new,automatic,ca,7300
2015.0,71000.0,good,automatic,ca,13500
2018.0,47038.0,,automatic,ca,18995
2019.0,2937.0,like new,manual,ca,0
2014.0,93000.0,excellent,automatic,ca,9900
2005.0,193392.0,,automatic,ca,4000
2001.0,189000.0,,manual,ca,1500
2016.0,43794.0,,automatic,ca,0
1989.0,185834.0,fair,automatic,ca,1700
2018.0,44062.0,,automatic,ca,20995
2012.0,0.0,excellent,automatic,ca,8900
2020.0,0.0,excellent,automatic,ca,23900
2019.0,33023.0,excellent,automatic,ca,21900
2019.0,46000.0,,automatic,ca,16990
2005.0,155000.0,good,automatic,ca,4000
2007.0,112000.0,,manual,ca,3500
2010.0,104432.0,salvage,automatic,ca,2500
2017.0,77500.0,excellent,automatic,ca,14500
2017.0,53045.0,,automatic,ca,0
2018.0,75708.0,,automatic,ca,0
2013.0,72000.0,excellent,manual,ca,16500
2017.0,32199.0,,manual,ca,477
2003.0,188000.0,,automatic,ca,2800
2013.0,72000.0,excellent,manual,ca,16500
2008.0,106000.0,,manual,ca,5800
2017.0,45370.0,excellent,automatic,ca,15900
2016.0,43794.0,,automatic,ca,0
2013.0,72000.0,excellent,manual,ca,16500
1993.0,274000.0,fair,manual,ca,2400
2018.0,145060.0,,automatic,ca,0
2012.0,66564.0,,automatic,ca,0
2020.0,10801.0,,manual,ca,31995
2017.0,32763.0,,automatic,ca,0
2018.0,68000.0,,automatic,ca,14550
2017.0,53045.0,,automatic,ca,0
2006.0,94030.0,,automatic,ca,6950
2007.0,94030.0,,,ca,7950
2018.0,75708.0,,automatic,ca,0
2011.0,158000.0,fair,automatic,ca,6000
2007.0,94030.0,,automatic,ca,7950
2013.0,72000.0,excellent,manual,ca,16500
2016.0,75000.0,,automatic,ca,0
2017.0,77000.0,,automatic,ca,0
2010.0,130000.0,excellent,automatic,ca,6500
2015.0,139990.0,,automatic,ca,10900
2011.0,155000.0,,automatic,ca,7900
2013.0,72000.0,excellent,manual,ca,16500
2012.0,121284.0,excellent,automatic,ca,8900
2016.0,64447.0,,automatic,ca,0
2014.0,60092.0,,automatic,ca,0
2007.0,29000.0,good,automatic,ca,1700
2018.0,20500.0,,automatic,ca,12500
2016.0,43794.0,,automatic,ca,0
2019.0,22930.0,like new,automatic,ca,23501
2013.0,72000.0,excellent,manual,ca,16500
2013.0,72000.0,excellent,manual,ca,16500
2012.0,105487.0,,automatic,ca,6999
2020.0,2797.0,like new,automatic,ca,25591
2017.0,100961.0,,automatic,ca,16975
2007.0,94030.0,,automatic,ca,6950
2018.0,110007.0,,automatic,ca,19800
2013.0,72000.0,excellent,manual,ca,16500
2017.0,53045.0,,automatic,ca,0
2020.0,23810.0,,automatic,ca,25699
2018.0,75708.0,,automatic,ca,0
2018.0,29316.0,,automatic,ca,22999
2013.0,72000.0,excellent,manual,ca,16500
2006.0,216000.0,good,automatic,ca,2800
2018.0,40534.0,,automatic,ca,0
2014.0,77055.0,,automatic,ca,0
2018.0,12000.0,,automatic,ca,13500
2019.0,21878.0,,automatic,ca,0
2017.0,56046.0,excellent,automatic,ca,17495
2016.0,43794.0,,automatic,ca,0
2018.0,13567.0,like new,automatic,ca,0
2015.0,118234.0,good,automatic,ca,8300
1998.0,163859.0,fair,manual,ca,1000
2014.0,100865.0,excellent,automatic,ca,10999
1978.0,123456.0,,manual,ca,1
2014.0,144000.0,,automatic,ca,1000
2004.0,150000.0,excellent,automatic,ca,3150
2015.0,21007.0,,automatic,ca,17995
2013.0,72000.0,excellent,manual,ca,16500
2007.0,150000.0,excellent,manual,ca,5900
2010.0,89000.0,,automatic,ca,8850
2017.0,41000.0,like new,automatic,ca,11300
2019.0,6964.0,good,other,ca,38990
2010.0,114636.0,excellent,automatic,ca,7700
2006.0,204000.0,excellent,automatic,ca,1500
2009.0,109000.0,,manual,ca,3900
2007.0,62953.0,excellent,automatic,ca,6500
1991.0,171000.0,,manual,ca,14500
2018.0,26000.0,like new,automatic,ca,18900
2018.0,39576.0,excellent,automatic,ca,11850
2018.0,39576.0,excellent,automatic,ca,11850
2001.0,57000.0,,manual,ca,6000
2016.0,50000.0,fair,automatic,ca,11000
2012.0,128840.0,,automatic,ca,8300
2019.0,46000.0,,automatic,ca,16990
2017.0,16993.0,excellent,automatic,ca,18500
2008.0,89864.0,excellent,automatic,ca,8500
2019.0,19268.0,good,automatic,ca,21995
